sample Items	X0	X1		out		list0			list1			list2			list3			list4			list5			list6			list7			list8		
12601	32	-635	==>	2									32	-635																		
12602	-116	278	==>	1						-116	278																					
12603	-310	979	==>	3												-310	979															
12604	146	-102	==>	0			146	-102																								
12605	-652	-304	==>	2									-652	-304																		
12606	-858	-191	==>	3												-858	-191															
12607	-166	406	==>	1						-166	406																					
12608	257	853	==>	3												257	853															
12609	-687	282	==>	2									-687	282																		
12610	-353	-493	==>	2									-353	-493																		
12611	707	12	==>	2									707	12																		
12612	123	515	==>	2									123	515																		
12613	-661	-424	==>	3												-661	-424															
12614	-633	661	==>	3												-633	661															
12615	-853	380	==>	3												-853	380															
12616	-672	276	==>	2									-672	276																		
12617	905	795	==>	3												905	795															
12618	-511	-495	==>	2									-511	-495																		
12619	-777	-205	==>	3												-777	-205															
12620	773	-848	==>	3												773	-848															
12621	-379	361	==>	2									-379	361																		
12622	353	-812	==>	3												353	-812															
12623	736	646	==>	3												736	646															
12624	39	319	==>	1						39	319																					
12625	674	-227	==>	2									674	-227																		
12626	-365	677	==>	3												-365	677															
12627	260	260	==>	1						260	260																					
12628	311	-138	==>	1						311	-138																					
12629	-121	-893	==>	3												-121	-893															
12630	118	418	==>	1						118	418																					
12631	-521	-851	==>	3												-521	-851															
12632	211	722	==>	3												211	722															
12633	459	-912	==>	3												459	-912															
12634	861	-571	==>	3												861	-571															
12635	65	-396	==>	1						65	-396																					
12636	226	76	==>	0			226	76																								
12637	370	-431	==>	2									370	-431																		
12638	730	528	==>	3												730	528															
12639	145	931	==>	3												145	931															
12640	-849	-523	==>	3												-849	-523															
12641	-723	-634	==>	3												-723	-634															
12642	198	-955	==>	3												198	-955															
12643	-981	-473	==>	3												-981	-473															
12644	996	780	==>	3												996	780															
12645	853	-988	==>	3												853	-988															
12646	-498	-120	==>	2									-498	-120																		
12647	-538	-981	==>	3												-538	-981															
12648	-645	135	==>	2									-645	135																		
12649	315	3	==>	1						315	3																					
12650	990	-641	==>	3												990	-641															
12651	-218	-596	==>	2									-218	-596																		
12652	-287	531	==>	2									-287	531																		
12653	-575	-757	==>	3												-575	-757															
12654	344	686	==>	3												344	686															
12655	322	948	==>	3												322	948															
12656	295	-89	==>	1						295	-89																					
12657	567	559	==>	3												567	559															
12658	250	-286	==>	1						250	-286																					
12659	567	741	==>	3												567	741															
12660	-921	-11	==>	3												-921	-11															
12661	-906	-224	==>	3												-906	-224															
12662	255	247	==>	1						255	247																					
12663	202	435	==>	1						202	435																					
12664	401	-224	==>	1						401	-224																					
12665	532	778	==>	3												532	778															
12666	-502	-940	==>	3												-502	-940															
12667	413	918	==>	3												413	918															
12668	-178	874	==>	3												-178	874															
12669	-166	431	==>	1						-166	431																					
12670	246	-89	==>	1						246	-89																					
12671	433	-883	==>	3												433	-883															
12672	59	-654	==>	2									59	-654																		
12673	784	-22	==>	3												784	-22															
12674	-312	-28	==>	1						-312	-28																					
12675	-248	-359	==>	1						-248	-359																					
12676	-736	-439	==>	3												-736	-439															
12677	-917	-206	==>	3												-917	-206															
12678	962	-42	==>	3												962	-42															
12679	419	-210	==>	1						419	-210																					
12680	-763	-597	==>	3												-763	-597															
12681	-828	637	==>	3												-828	637															
12682	-226	47	==>	0			-226	47																								
12683	-391	-963	==>	3												-391	-963															
12684	-620	34	==>	2									-620	34																		
12685	-916	520	==>	3												-916	520															
12686	-309	127	==>	1						-309	127																					
12687	829	-631	==>	3												829	-631															
12688	-376	1	==>	1						-376	1																					
12689	-969	580	==>	3												-969	580															
12690	-526	-437	==>	2									-526	-437																		
12691	-185	-598	==>	2									-185	-598																		
12692	-284	-365	==>	1						-284	-365																					
12693	-691	-987	==>	3												-691	-987															
12694	-804	68	==>	3												-804	68															
12695	-692	556	==>	3												-692	556															
12696	338	-655	==>	2									338	-655																		
12697	734	-936	==>	3												734	-936															
12698	-512	-415	==>	2									-512	-415																		
12699	635	513	==>	3												635	513															
12700	-545	650	==>	3												-545	650															
12701	665	-413	==>	3												665	-413															
12702	-571	-561	==>	3												-571	-561															
12703	-529	368	==>	2									-529	368																		
12704	-803	671	==>	3												-803	671															
12705	-14	450	==>	1						-14	450																					
12706	-446	-375	==>	2									-446	-375																		
12707	474	5	==>	1						474	5																					
12708	-24	-295	==>	1						-24	-295																					
12709	-519	-714	==>	3												-519	-714															
12710	803	83	==>	3												803	83															
12711	459	587	==>	2									459	587																		
12712	424	-788	==>	3												424	-788															
12713	938	-478	==>	3												938	-478															
12714	-273	609	==>	2									-273	609																		
12715	799	50	==>	3												799	50															
12716	-293	-141	==>	1						-293	-141																					
12717	504	-738	==>	3												504	-738															
12718	763	-380	==>	3												763	-380															
12719	365	-491	==>	2									365	-491																		
12720	7	213	==>	0			7	213																								
12721	410	-422	==>	2									410	-422																		
12722	508	-245	==>	2									508	-245																		
12723	-586	518	==>	3												-586	518															
12724	255	626	==>	2									255	626																		
12725	529	804	==>	3												529	804															
12726	622	-736	==>	3												622	-736															
12727	-921	818	==>	3												-921	818															
12728	886	-459	==>	3												886	-459															
12729	726	958	==>	3												726	958															
12730	562	239	==>	2									562	239																		
12731	-191	-491	==>	2									-191	-491																		
12732	469	154	==>	1						469	154																					
12733	-251	297	==>	1						-251	297																					
12734	-723	-586	==>	3												-723	-586															
12735	-439	-302	==>	2									-439	-302																		
12736	-473	-727	==>	3												-473	-727															
12737	-144	-494	==>	2									-144	-494																		
12738	-20	944	==>	3												-20	944															
12739	-423	307	==>	2									-423	307																		
12740	575	101	==>	2									575	101																		
12741	-966	-331	==>	3												-966	-331															
12742	120	617	==>	2									120	617																		
12743	-801	131	==>	3												-801	131															
12744	59	-559	==>	2									59	-559																		
12745	257	-914	==>	3												257	-914															
12746	-438	-306	==>	2									-438	-306																		
12747	-587	622	==>	3												-587	622															
12748	666	-261	==>	2									666	-261																		
12749	-800	-645	==>	3												-800	-645															
12750	322	448	==>	2									322	448																		
12751	291	576	==>	2									291	576																		
12752	251	561	==>	2									251	561																		
12753	-907	471	==>	3												-907	471															
12754	596	642	==>	3												596	642															
12755	736	-101	==>	2									736	-101																		
12756	765	833	==>	3												765	833															
12757	365	-467	==>	2									365	-467																		
12758	180	40	==>	0			180	40																								
12759	896	921	==>	3												896	921															
12760	949	-699	==>	3												949	-699															
12761	-654	-909	==>	3												-654	-909															
12762	61	297	==>	1						61	297																					
12763	-596	-934	==>	3												-596	-934															
12764	-965	959	==>	3												-965	959															
12765	12	-566	==>	2									12	-566																		
12766	746	-681	==>	3												746	-681															
12767	-169	511	==>	2									-169	511																		
12768	483	-638	==>	3												483	-638															
12769	-670	-523	==>	3												-670	-523															
12770	-381	-737	==>	3												-381	-737															
12771	-940	-233	==>	3												-940	-233															
12772	112	811	==>	3												112	811															
12773	332	-477	==>	2									332	-477																		
12774	750	-37	==>	3												750	-37															
12775	-921	316	==>	3												-921	316															
12776	-409	437	==>	2									-409	437																		
12777	-191	148	==>	0			-191	148																								
12778	30	-877	==>	3												30	-877															
12779	759	-322	==>	3												759	-322															
12780	-239	658	==>	2									-239	658																		
12781	-140	-132	==>	0			-140	-132																								
12782	-48	-494	==>	1						-48	-494																					
12783	715	172	==>	2									715	172																		
12784	-447	-547	==>	2									-447	-547																		
12785	210	-996	==>	3												210	-996															
12786	-276	-245	==>	1						-276	-245																					
12787	-455	-964	==>	3												-455	-964															
12788	493	-268	==>	2									493	-268																		
12789	-393	752	==>	3												-393	752															
12790	766	565	==>	3												766	565															
12791	-954	955	==>	3												-954	955															
12792	-176	307	==>	1						-176	307																					
12793	-530	907	==>	3												-530	907															
12794	-714	-221	==>	2									-714	-221																		
12795	-286	-50	==>	1						-286	-50																					
12796	62	-966	==>	3												62	-966															
12797	771	-96	==>	3												771	-96															
12798	403	241	==>	1						403	241																					
12799	-554	-612	==>	3												-554	-612															
12800	-972	755	==>	3												-972	755															
12801	-617	-130	==>	2									-617	-130																		
12802	-131	738	==>	2									-131	738																		
12803	-334	-360	==>	1						-334	-360																					
12804	29	-921	==>	3												29	-921															
12805	-776	-187	==>	3												-776	-187															
12806	-209	914	==>	3												-209	914															
12807	930	-572	==>	3												930	-572															
12808	944	-705	==>	3												944	-705															
12809	-981	-859	==>	3												-981	-859															
12810	629	760	==>	3												629	760															
12811	115	964	==>	3												115	964															
12812	961	779	==>	3												961	779															
12813	-785	691	==>	3												-785	691															
12814	-801	860	==>	3												-801	860															
12815	-217	-495	==>	2									-217	-495																		
12816	286	902	==>	3												286	902															
12817	-283	-336	==>	1						-283	-336																					
12818	348	-985	==>	3												348	-985															
12819	859	166	==>	3												859	166															
12820	-137	-812	==>	3												-137	-812															
12821	-134	61	==>	0			-134	61																								
12822	25	-955	==>	3												25	-955															
12823	906	-165	==>	3												906	-165															
12824	-373	-505	==>	2									-373	-505																		
12825	-849	604	==>	3												-849	604															
12826	-856	313	==>	3												-856	313															
12827	-576	106	==>	2									-576	106																		
12828	-278	-51	==>	1						-278	-51																					
12829	-693	149	==>	2									-693	149																		
12830	-363	-338	==>	1						-363	-338																					
12831	316	949	==>	3												316	949															
12832	162	451	==>	1						162	451																					
12833	949	-552	==>	3												949	-552															
12834	952	-511	==>	3												952	-511															
12835	610	-422	==>	2									610	-422																		
12836	162	182	==>	0			162	182																								
12837	-914	333	==>	3												-914	333															
12838	296	-125	==>	1						296	-125																					
12839	-21	-206	==>	0			-21	-206																								
12840	2	-70	==>	0			2	-70																								
12841	566	99	==>	2									566	99																		
12842	894	-784	==>	3												894	-784															
12843	-855	-945	==>	3												-855	-945															
12844	-583	-127	==>	2									-583	-127																		
12845	-46	-326	==>	1						-46	-326																					
12846	-352	-165	==>	1						-352	-165																					
12847	32	-256	==>	1						32	-256																					
12848	81	-681	==>	2									81	-681																		
12849	-393	-591	==>	2									-393	-591																		
12850	-327	-401	==>	2									-327	-401																		
12851	443	-863	==>	3												443	-863															
12852	120	-537	==>	2									120	-537																		
12853	-424	-984	==>	3												-424	-984															
12854	854	860	==>	3												854	860															
12855	762	-349	==>	3												762	-349															
12856	-775	-237	==>	3												-775	-237															
12857	833	-372	==>	3												833	-372															
12858	582	350	==>	2									582	350																		
12859	-389	-130	==>	1						-389	-130																					
12860	-641	-759	==>	3												-641	-759															
12861	933	646	==>	3												933	646															
12862	-988	-114	==>	3												-988	-114															
12863	-823	992	==>	3												-823	992															
12864	-290	699	==>	3												-290	699															
12865	220	503	==>	2									220	503																		
12866	-84	-329	==>	1						-84	-329																					
12867	-931	53	==>	3												-931	53															
12868	-831	-208	==>	3												-831	-208															
12869	116	834	==>	3												116	834															
12870	146	-9	==>	0			146	-9																								
12871	272	485	==>	2									272	485																		
12872	258	-131	==>	1						258	-131																					
12873	309	237	==>	1						309	237																					
12874	-462	-866	==>	3												-462	-866															
12875	-446	-305	==>	2									-446	-305																		
12876	668	883	==>	3												668	883															
12877	808	-77	==>	3												808	-77															
12878	-724	-714	==>	3												-724	-714															
12879	393	530	==>	2									393	530																		
12880	-690	-69	==>	2									-690	-69																		
12881	-596	-839	==>	3												-596	-839															
12882	-277	213	==>	1						-277	213																					
12883	-331	617	==>	2									-331	617																		
12884	-666	424	==>	3												-666	424															
12885	-81	425	==>	1						-81	425																					
12886	898	-995	==>	3												898	-995															
12887	-788	103	==>	3												-788	103															
12888	-479	48	==>	1						-479	48																					
12889	-213	-610	==>	2									-213	-610																		
12890	-705	733	==>	3												-705	733															
12891	-254	-383	==>	1						-254	-383																					
12892	707	913	==>	3												707	913															
12893	-636	697	==>	3												-636	697															
12894	-515	393	==>	2									-515	393																		
12895	-845	922	==>	3												-845	922															
12896	-972	-722	==>	3												-972	-722															
12897	-654	581	==>	3												-654	581															
12898	549	618	==>	3												549	618															
12899	-175	284	==>	1						-175	284																					
12900	883	758	==>	3												883	758															
12901	556	327	==>	2									556	327																		
12902	-390	96	==>	1						-390	96																					
12903	251	-956	==>	3												251	-956															
12904	25	-972	==>	3												25	-972															
12905	496	-407	==>	2									496	-407																		
12906	-336	771	==>	3												-336	771															
12907	-993	-974	==>	3												-993	-974															
12908	647	-417	==>	3												647	-417															
12909	467	504	==>	2									467	504																		
12910	451	-682	==>	3												451	-682															
12911	190	248	==>	1						190	248																					
12912	-828	-853	==>	3												-828	-853															
12913	671	-556	==>	3												671	-556															
12914	-299	-397	==>	1						-299	-397																					
12915	-54	22	==>	0			-54	22																								
12916	322	-883	==>	3												322	-883															
12917	898	633	==>	3												898	633															
12918	-159	858	==>	3												-159	858															
12919	105	-287	==>	1						105	-287																					
12920	-191	-754	==>	3												-191	-754															
12921	-327	-662	==>	2									-327	-662																		
12922	228	-517	==>	2									228	-517																		
12923	-663	-316	==>	2									-663	-316																		
12924	-885	-712	==>	3												-885	-712															
12925	-870	-434	==>	3												-870	-434															
12926	837	-512	==>	3												837	-512															
12927	198	-681	==>	2									198	-681																		
12928	-61	-777	==>	3												-61	-777															
12929	-345	-808	==>	3												-345	-808															
12930	682	58	==>	2									682	58																		
12931	54	745	==>	2									54	745																		
12932	-35	752	==>	3												-35	752															
12933	605	561	==>	3												605	561															
12934	-647	554	==>	3												-647	554															
12935	316	-675	==>	2									316	-675																		
12936	365	499	==>	2									365	499																		
12937	985	-621	==>	3												985	-621															
12938	-367	-440	==>	2									-367	-440																		
12939	-790	10	==>	3												-790	10															
12940	112	133	==>	0			112	133																								
12941	-771	92	==>	3												-771	92															
12942	721	433	==>	3												721	433															
12943	352	890	==>	3												352	890															
12944	472	-235	==>	2									472	-235																		
12945	578	-820	==>	3												578	-820															
12946	848	-663	==>	3												848	-663															
12947	-569	451	==>	2									-569	451																		
12948	-847	624	==>	3												-847	624															
12949	558	-765	==>	3												558	-765															
12950	-244	-587	==>	2									-244	-587																		
12951	-744	963	==>	3												-744	963															
12952	994	-921	==>	3												994	-921															
12953	542	-333	==>	2									542	-333																		
12954	292	658	==>	2									292	658																		
12955	-931	-770	==>	3												-931	-770															
12956	-468	367	==>	2									-468	367																		
12957	295	-663	==>	2									295	-663																		
12958	28	-565	==>	2									28	-565																		
12959	-564	19	==>	2									-564	19																		
12960	-985	744	==>	3												-985	744															
12961	944	-119	==>	3												944	-119															
12962	-247	538	==>	2									-247	538																		
12963	-245	-914	==>	3												-245	-914															
12964	249	-162	==>	1						249	-162																					
12965	856	115	==>	3												856	115															
12966	860	-234	==>	3												860	-234															
12967	123	871	==>	3												123	871															
12968	808	-583	==>	3												808	-583															
12969	-759	-368	==>	3												-759	-368															
12970	117	538	==>	2									117	538																		
12971	612	5	==>	2									612	5																		
12972	210	-482	==>	2									210	-482																		
12973	-569	-247	==>	2									-569	-247																		
12974	884	-907	==>	3												884	-907															
12975	633	-725	==>	3												633	-725															
12976	-808	625	==>	3												-808	625															
12977	-525	893	==>	3												-525	893															
12978	-416	514	==>	2									-416	514																		
12979	318	-679	==>	2									318	-679																		
12980	-142	-793	==>	3												-142	-793															
12981	469	-998	==>	3												469	-998															
12982	-889	-734	==>	3												-889	-734															
12983	515	377	==>	2									515	377																		
12984	372	-341	==>	2									372	-341																		
12985	843	-960	==>	3												843	-960															
12986	2	-505	==>	2									2	-505																		
12987	-412	590	==>	2									-412	590																		
12988	88	-313	==>	1						88	-313																					
12989	-608	-727	==>	3												-608	-727															
12990	51	539	==>	2									51	539																		
12991	386	388	==>	2									386	388																		
12992	864	446	==>	3												864	446															
12993	542	-629	==>	3												542	-629															
12994	-55	-999	==>	3												-55	-999															
12995	887	-653	==>	3												887	-653															
12996	393	471	==>	2									393	471																		
12997	724	-829	==>	3												724	-829															
12998	-418	-688	==>	3												-418	-688															
12999	-711	754	==>	3												-711	754															
13000	846	874	==>	3												846	874															
13001	-881	781	==>	3												-881	781															
13002	-524	-860	==>	3												-524	-860															
13003	136	-458	==>	1						136	-458																					
13004	483	-530	==>	2									483	-530																		
13005	155	-622	==>	2									155	-622																		
13006	-296	-988	==>	3												-296	-988															
13007	748	-607	==>	3												748	-607															
13008	137	526	==>	2									137	526																		
13009	528	722	==>	3												528	722															
13010	-497	-513	==>	2									-497	-513																		
13011	-804	82	==>	3												-804	82															
13012	-708	-484	==>	3												-708	-484															
13013	245	-900	==>	3												245	-900															
13014	765	192	==>	3												765	192															
13015	912	-777	==>	3												912	-777															
13016	-370	-508	==>	2									-370	-508																		
13017	-942	867	==>	3												-942	867															
13018	-518	-380	==>	2									-518	-380																		
13019	11	142	==>	0			11	142																								
13020	952	820	==>	3												952	820															
13021	131	-540	==>	2									131	-540																		
13022	-133	281	==>	1						-133	281																					
13023	605	-952	==>	3												605	-952															
13024	489	540	==>	2									489	540																		
13025	-968	-437	==>	3												-968	-437															
13026	-89	779	==>	3												-89	779															
13027	-549	-821	==>	3												-549	-821															
13028	-983	-67	==>	3												-983	-67															
13029	-767	-477	==>	3												-767	-477															
13030	-214	377	==>	1						-214	377																					
13031	-530	-700	==>	3												-530	-700															
13032	-852	-781	==>	3												-852	-781															
13033	85	434	==>	1						85	434																					
13034	813	402	==>	3												813	402															
13035	229	-24	==>	0			229	-24																								
13036	78	973	==>	3												78	973															
13037	523	32	==>	2									523	32																		
13038	-452	651	==>	3												-452	651															
13039	452	845	==>	3												452	845															
13040	-710	-909	==>	3												-710	-909															
13041	87	-806	==>	3												87	-806															
13042	669	-997	==>	3												669	-997															
13043	-956	-985	==>	3												-956	-985															
13044	-515	-972	==>	3												-515	-972															
13045	-895	-485	==>	3												-895	-485															
13046	402	7	==>	1						402	7																					
13047	-915	20	==>	3												-915	20															
13048	64	-94	==>	0			64	-94																								
13049	-368	168	==>	1						-368	168																					
13050	464	-514	==>	2									464	-514																		
13051	201	-996	==>	3												201	-996															
13052	-531	-265	==>	2									-531	-265																		
13053	614	-838	==>	3												614	-838															
13054	822	-251	==>	3												822	-251															
13055	-386	-992	==>	3												-386	-992															
13056	-717	60	==>	2									-717	60																		
13057	-262	826	==>	3												-262	826															
13058	265	815	==>	3												265	815															
13059	621	-945	==>	3												621	-945															
13060	-7	-537	==>	2									-7	-537																		
13061	150	921	==>	3												150	921															
13062	569	-242	==>	2									569	-242																		
13063	281	-420	==>	2									281	-420																		
13064	-364	330	==>	1						-364	330																					
13065	779	-551	==>	3												779	-551															
13066	59	973	==>	3												59	973															
13067	598	271	==>	2									598	271																		
13068	537	191	==>	2									537	191																		
13069	49	-394	==>	1						49	-394																					
13070	-821	-271	==>	3												-821	-271															
13071	243	57	==>	0			243	57																								
13072	-545	-882	==>	3												-545	-882															
13073	891	-775	==>	3												891	-775															
13074	-537	196	==>	2									-537	196																		
13075	-767	-860	==>	3												-767	-860															
13076	-707	-389	==>	3												-707	-389															
13077	659	629	==>	3												659	629															
13078	880	-731	==>	3												880	-731															
13079	843	-313	==>	3												843	-313															
13080	-639	-592	==>	3												-639	-592															
13081	617	780	==>	3												617	780															
13082	641	718	==>	3												641	718															
13083	58	767	==>	3												58	767															
13084	158	787	==>	3												158	787															
13085	-663	462	==>	3												-663	462															
13086	-477	-361	==>	2									-477	-361																		
13087	537	-756	==>	3												537	-756															
13088	-969	-783	==>	3												-969	-783															
13089	-754	-938	==>	3												-754	-938															
13090	14	-342	==>	1						14	-342																					
13091	-818	-590	==>	3												-818	-590															
13092	-841	-444	==>	3												-841	-444															
13093	931	-55	==>	3												931	-55															
13094	986	-146	==>	3												986	-146															
13095	950	-865	==>	3												950	-865															
13096	978	-661	==>	3												978	-661															
13097	668	217	==>	2									668	217																		
13098	316	-107	==>	1						316	-107																					
13099	908	-216	==>	3												908	-216															
13100	-990	893	==>	3												-990	893															
13101	-576	-833	==>	3												-576	-833															
13102	180	704	==>	2									180	704																		
13103	-125	197	==>	0			-125	197																								
13104	-170	231	==>	1						-170	231																					
13105	934	-655	==>	3												934	-655															
13106	-482	-185	==>	2									-482	-185																		
13107	-42	735	==>	2									-42	735																		
13108	-40	309	==>	1						-40	309																					
13109	-301	-784	==>	3												-301	-784															
13110	-901	575	==>	3												-901	575															
13111	41	-904	==>	3												41	-904															
13112	33	109	==>	0			33	109																								
13113	-322	-276	==>	1						-322	-276																					
13114	960	-229	==>	3												960	-229															
13115	659	554	==>	3												659	554															
13116	-419	-840	==>	3												-419	-840															
13117	829	-942	==>	3												829	-942															
13118	103	-960	==>	3												103	-960															
13119	110	-17	==>	0			110	-17																								
13120	-872	613	==>	3												-872	613															
13121	-687	991	==>	3												-687	991															
13122	988	-183	==>	3												988	-183															
13123	308	-499	==>	2									308	-499																		
13124	-45	-547	==>	2									-45	-547																		
13125	-653	775	==>	3												-653	775															
13126	-298	-969	==>	3												-298	-969															
13127	738	-962	==>	3												738	-962															
13128	-901	-230	==>	3												-901	-230															
13129	-391	384	==>	2									-391	384																		
13130	-487	-622	==>	3												-487	-622															
13131	-350	-954	==>	3												-350	-954															
13132	-182	25	==>	0			-182	25																								
13133	159	602	==>	2									159	602																		
13134	-687	-706	==>	3												-687	-706															
13135	279	475	==>	2									279	475																		
13136	6	-339	==>	1						6	-339																					
13137	956	472	==>	3												956	472															
13138	858	-221	==>	3												858	-221															
13139	591	823	==>	3												591	823															
13140	343	-578	==>	2									343	-578																		
13141	-950	-348	==>	3												-950	-348															
13142	-515	134	==>	2									-515	134																		
13143	-293	-838	==>	3												-293	-838															
13144	-231	515	==>	2									-231	515																		
13145	863	-377	==>	3												863	-377															
13146	330	270	==>	1						330	270																					
13147	-524	-478	==>	2									-524	-478																		
13148	690	-6	==>	2									690	-6																		
13149	-411	-613	==>	2									-411	-613																		
13150	-833	648	==>	3												-833	648															
13151	675	-584	==>	3												675	-584															
13152	-210	461	==>	2									-210	461																		
13153	91	948	==>	3												91	948															
13154	-590	-942	==>	3												-590	-942															
13155	-2	-237	==>	0			-2	-237																								
13156	217	-781	==>	3												217	-781															
13157	418	-792	==>	3												418	-792															
13158	984	904	==>	3												984	904															
13159	-345	-817	==>	3												-345	-817															
13160	-120	-889	==>	3												-120	-889															
13161	-936	-15	==>	3												-936	-15															
13162	-30	896	==>	3												-30	896															
13163	917	-588	==>	3												917	-588															
13164	544	-642	==>	3												544	-642															
13165	163	-234	==>	1						163	-234																					
13166	948	-825	==>	3												948	-825															
13167	-8	-293	==>	1						-8	-293																					
13168	-820	-617	==>	3												-820	-617															
13169	518	351	==>	2									518	351																		
13170	-95	835	==>	3												-95	835															
13171	-671	-320	==>	2									-671	-320																		
13172	473	777	==>	3												473	777															
13173	-500	712	==>	3												-500	712															
13174	938	111	==>	3												938	111															
13175	475	-23	==>	1						475	-23																					
13176	-138	-828	==>	3												-138	-828															
13177	-947	710	==>	3												-947	710															
13178	-732	668	==>	3												-732	668															
13179	799	439	==>	3												799	439															
13180	-386	473	==>	2									-386	473																		
13181	-284	357	==>	1						-284	357																					
13182	-720	337	==>	3												-720	337															
13183	966	-662	==>	3												966	-662															
13184	-20	580	==>	2									-20	580																		
13185	122	870	==>	3												122	870															
13186	-108	322	==>	1						-108	322																					
13187	-571	667	==>	3												-571	667															
13188	603	524	==>	3												603	524															
13189	-438	991	==>	3												-438	991															
13190	715	-160	==>	2									715	-160																		
13191	-682	-495	==>	3												-682	-495															
13192	815	884	==>	3												815	884															
13193	891	-980	==>	3												891	-980															
13194	-386	-117	==>	1						-386	-117																					
13195	-13	-154	==>	0			-13	-154																								
13196	-487	-946	==>	3												-487	-946															
13197	949	-238	==>	3												949	-238															
13198	-154	845	==>	3												-154	845															
13199	730	670	==>	3												730	670															
13200	156	-940	==>	3												156	-940															
13201	-423	683	==>	3												-423	683															
13202	682	122	==>	2									682	122																		
13203	756	761	==>	3												756	761															
13204	-13	-540	==>	2									-13	-540																		
13205	-123	776	==>	3												-123	776															
13206	318	-503	==>	2									318	-503																		
13207	-623	455	==>	3												-623	455															
13208	-782	-634	==>	3												-782	-634															
13209	-919	-388	==>	3												-919	-388															
13210	-105	591	==>	2									-105	591																		
13211	-684	34	==>	2									-684	34																		
13212	-694	-261	==>	2									-694	-261																		
13213	137	841	==>	3												137	841															
13214	182	-412	==>	1						182	-412																					
13215	894	368	==>	3												894	368															
13216	-85	-819	==>	3												-85	-819															
13217	774	-127	==>	3												774	-127															
13218	657	-272	==>	2									657	-272																		
13219	-617	-134	==>	2									-617	-134																		
13220	165	-566	==>	2									165	-566																		
13221	-629	-79	==>	2									-629	-79																		
13222	-835	237	==>	3												-835	237															
13223	597	682	==>	3												597	682															
13224	-996	225	==>	3												-996	225															
13225	-659	739	==>	3												-659	739															
13226	-449	161	==>	1						-449	161																					
13227	523	489	==>	2									523	489																		
13228	-912	880	==>	3												-912	880															
13229	422	442	==>	2									422	442																		
13230	807	-15	==>	3												807	-15															
13231	247	-604	==>	2									247	-604																		
13232	-297	-550	==>	2									-297	-550																		
13233	478	429	==>	2									478	429																		
13234	394	382	==>	2									394	382																		
13235	638	695	==>	3												638	695															
13236	-651	514	==>	3												-651	514															
13237	186	-599	==>	2									186	-599																		
13238	-693	105	==>	2									-693	105																		
13239	-168	-96	==>	0			-168	-96																								
13240	-85	-787	==>	3												-85	-787															
13241	-173	561	==>	2									-173	561																		
13242	730	492	==>	3												730	492															
13243	-682	-926	==>	3												-682	-926															
13244	326	972	==>	3												326	972															
13245	953	101	==>	3												953	101															
13246	872	-82	==>	3												872	-82															
13247	-375	-908	==>	3												-375	-908															
13248	989	81	==>	3												989	81															
13249	-977	680	==>	3												-977	680															
13250	-463	-568	==>	2									-463	-568																		
13251	251	-600	==>	2									251	-600																		
13252	343	-380	==>	2									343	-380																		
13253	474	962	==>	3												474	962															
13254	212	892	==>	3												212	892															
13255	-888	218	==>	3												-888	218															
13256	-64	224	==>	0			-64	224																								
13257	-516	358	==>	2									-516	358																		
13258	923	-408	==>	3												923	-408															
13259	232	303	==>	1						232	303																					
13260	378	218	==>	1						378	218																					
13261	97	-304	==>	1						97	-304																					
13262	-622	-122	==>	2									-622	-122																		
13263	-526	662	==>	3												-526	662															
13264	-161	217	==>	1						-161	217																					
13265	393	-708	==>	3												393	-708															
13266	281	-29	==>	1						281	-29																					
13267	778	937	==>	3												778	937															
13268	196	-976	==>	3												196	-976															
13269	822	-602	==>	3												822	-602															
13270	764	496	==>	3												764	496															
13271	-701	804	==>	3												-701	804															
13272	857	433	==>	3												857	433															
13273	126	967	==>	3												126	967															
13274	-102	-2	==>	0			-102	-2																								
13275	-940	-497	==>	3												-940	-497															
13276	-805	532	==>	3												-805	532															
13277	658	223	==>	2									658	223																		
13278	-477	810	==>	3												-477	810															
13279	-930	909	==>	3												-930	909															
13280	987	709	==>	3												987	709															
13281	-984	-378	==>	3												-984	-378															
13282	319	768	==>	3												319	768															
13283	-397	134	==>	1						-397	134																					
13284	975	-71	==>	3												975	-71															
13285	251	695	==>	2									251	695																		
13286	-304	-224	==>	1						-304	-224																					
13287	83	7	==>	0			83	7																								
13288	-503	800	==>	3												-503	800															
13289	355	-86	==>	1						355	-86																					
13290	837	785	==>	3												837	785															
13291	777	-569	==>	3												777	-569															
13292	965	404	==>	3												965	404															
13293	663	-196	==>	2									663	-196																		
13294	-858	-585	==>	3												-858	-585															
13295	-269	-714	==>	3												-269	-714															
13296	-236	552	==>	2									-236	552																		
13297	885	-201	==>	3												885	-201															
13298	-454	-14	==>	1						-454	-14																					
13299	938	548	==>	3												938	548															
13300	-224	-751	==>	3												-224	-751															
13301	-994	322	==>	3												-994	322															
13302	-842	482	==>	3												-842	482															
13303	-16	-319	==>	1						-16	-319																					
13304	-658	354	==>	2									-658	354																		
13305	-360	279	==>	1						-360	279																					
13306	-872	345	==>	3												-872	345															
13307	835	-344	==>	3												835	-344															
13308	473	-399	==>	2									473	-399																		
13309	572	-316	==>	2									572	-316																		
13310	-517	137	==>	2									-517	137																		
13311	-39	-379	==>	1						-39	-379																					
13312	521	452	==>	2									521	452																		
13313	-701	638	==>	3												-701	638															
13314	-732	677	==>	3												-732	677															
13315	612	896	==>	3												612	896															
13316	-498	35	==>	1						-498	35																					
